id	uses	block_rows	roles
0	0	0	walkable
1	8	3	
2	2	1	
3	4	1	
4	2	1	
5	4	4	
6	4	4	
7	14	6	
8	3	3	
9	3	3	
10	70	19	
11	5	5	
12	5	5	
13	7	2	
14	14	4	
15	13	5	
16	40	9	walkable
17	108	13	
18	44	8	
19	2	1	
20	184	20	
21	9	5	
22	5	5	
23	42	16	
24	4	4	
25	8	4	
26	41	17	
27	5	5	door,walkable,warp
28	5	5	
29	7	2	
30	2	1	
31	18	7	
32	20	5	walkable
33	16	8	walkable
34	24	9	
35	138	18	walkable
36	38	9	
37	5	5	
38	5	5	
39	33	8	
40	5	5	
41	5	5	
42	52	23	
43	52	23	
44	257	32	walkable
45	5	5	walkable
46	5	5	walkable
47	1	1	
48	28	3	walkable
49	4	1	walkable
50	11	3	
51	18	7	walkable
52	8	6	
53	2	1	
54	7	6	
55	44	16	
56	8	4	
57	125	17	walkable
58	52	23	
59	52	23	
60	36	5	walkable
61	5	5	
62	5	5	walkable
63	1	1	
64	29	14	
65	29	14	
66	1	1	
67	1	1	
68	1	1	
69	1	1	
70	3	3	
71	3	3	
72	2	2	
73	2	2	
74	4	2	
75	61	11	
76	1	1	
77	1	1	
78	6	6	
79	7	7	
80	29	14	
81	29	14	
82	16	1	grass,walkable
83	14	5	
84	11	3	walkable
85	14	4	
86	3	3	
87	3	3	
88	2	2	door,walkable,warp
89	2	2	
90	4	2	
91	16	1	walkable
92	2	2	
93	2	2	
94	0	0	
95	0	0	
